year,name,content
2016,Rawal2016a,"Across all industry segments, 96 percent of systems could be breached on average. In the game of cyber security, every moment a new player (attacker) is entering the game with new skill sets. An attacker only needs to be effective once while defenders of cyberspace have to be successful all of the time. There will be a first-mover advantage in such a chasing game, which means that the first move often wins. In this paper, in order to face the security challenges brought in by attacker's first move advantage, we analyzed the past ten years of cyber-attacks, studied the immediate attack's pattern and offer the tools to predict the next move of the cyber attacker.
"
2007,Fette2007,"Each month, more attacks are launched with the aim of making web users believe that they are communicating with a trusted entity for the purpose of stealing account information, logon credentials, and identity information in general. This attack method, commonly known as “phishing,” is most commonly initiated by sending out emails with links to spoofed websites that harvest information. We present a method for detecting these attacks, which in its most general form is an application of machine learning on a feature set designed to highlight user-targeted deception in electronic communication. This method is applicable, with slight modification, to detection of phishing websites, or the emails used to direct victims to these sites. We evaluate this method on a set of approximately 860 such phishing emails, and 6950 non-phishing emails, and correctly identify over 96% of the phishing emails while only mis-classifying on the order of 0.1% of the legitimate emails. We conclude with thoughts on the future for such techniques to specifically identify deception, specifically with respect to the evolutionary nature of the attacks and information available."
2006,Saple2006,"Network fault management is concerned with the detection, isolation, and correction of anomalous conditions that occur in a computer network. Present state of art in fault management classifies existing methodologies into two main categories: reactive rule based approaches and intelligent monitoring systems. In this paper we explore the concept of anticipatory behavior to develop an intelligent agent-based network management model, which uses an anticipatory agent to proactively detect occurrence of faults using a predictive model pertaining to network performance. To compare the effectiveness of the anticipatory technique, we build a simulation model of a network using the DEVS framework. Two reactive rule based fault management strategies are compared against the anticipatory approach. Results of the comparative analysis are presented to demonstrate the potential of the anticipatory technique in detecting network anomalies.
"
2016,Chang2016c,"An important part of an organisation's mission is protecting its information assets from inside or outside threats. As the information environment has become more diverse and inclusive, security concern has shifted from information assets resided in the organisation to information assets and networked devices exposed to broader cyberspace, such as cloud or Internet of things environment and mobile Internet. Organisations have to keep up with the knowledge and trends in information security and cybersecurity to safeguard their information assets. Knowledge mapping will aid in this sort of knowledge management process. Mandatory standards and government regulations help industries establish best practices in cybersecurity. Knowledge mapping and scientometric analysis across disciplines also provide a tracking system to notify researchers and practitioners should the new solutions and technology facilitating threat detection emerge. While various topics in information security and cybersecurity have been extensively investigated in academia, identifying salient themes and development trajectories in information security and cybersecurity research is relatively unexplored. This study employs scientometric analysis and topic modelling to develop knowledge maps that visualise core concepts associated with information security and cybersecurity research over time and across disciplines. With scientometric analysis and knowledge mapping using topic models, this study identifies the commonality, difference, and relationship between information security and cybersecurity research domains. This approach could gain insights into how these research areas have evolved and might be improved concerning learning and teaching cybersecurity. The proposed approach to developing the knowledge map may be extended to other research areas. The nature of cybersecurity research is interdisciplinary (Craigen et al., 2014). Learning the findings and methodologies used in information and cybersecurity studies from multiple disciplines is conducive to our understanding of mutual.
"
2015,Karl2015,"Text analytics continue to proliferate as mass volumes of unstructured but highly useful data are generated at unbounded rates. Vector space models for text data - in which documents are represented by rows and words by columns - provide a translation of this unstructured data into a format that may be analyzed with statistical and machine learning techniques. This approach gives excellent results in revealing common themes, clustering documents, clustering words, and in translating unstructured text fields (such as an open-ended survey response) to usable input variables for predictive modeling. After discussing the collection and processing of text, we explore properties and transformations of the document-term matrix (DTM). We show how the singular value decomposition may be used to drastically reduce the size of the document space while also setting the stage for automatic topic extraction, courtesy of the varimax rotation. This latent semantic analysis (LSA) approach produces factors that are compatible with graphical exploration and advanced analytics. We also explore Latent Dirichlet Allocation for topic analysis. We reference published R packages to implement the methods and conclude with a summary of other popular open-source and commercial software packages.
"
2016,Weiss2016,"“ This is a needle in a haystack problem where ” the appearance of the needle is unknown. Conducting a literature review in new domains presents unique challenges. The literature in a new domain is typically broad, fragmented, and growing quickly. Because little is known about the new domain, the literature review cannot be guided by established classifications of knowledge, unlike in an existing domain. Rather, it will be driven by evidence that challenges and extends existing knowledge. In a way, exploring a new domain means looking for anomalies in the evidence that cannot be explained by what is already known. This article summarizes lessons from conducting two literature reviews in new domains in the area of cybersecurity. It then presents a design for using leader-driven crowdsourcing to collect evidence and synthesize it into insights in a new domain. The article will be relevant to those who are exploring a new domain, in particular students, researchers, and members of R&D projects in industry.
"
2013,Schoemaker2013,"As firms become more networked they greatly expand their points of contact with the outside world. This can greatly help the detection of early signs of threats or opportunities emerging at the periphery. But a major challenge for firms scanning the periphery of their networks is how to manage the explosion of information. How do they avoid undue distraction while spotting useful signals amid an avalanche of data? We discuss how strategic radars can be used to integrate outside networks, weak signals, sense making, strategic dialog and scenario planning. A brief case study illustrates how a strategic radar system was actually developed and deployed by a large government agency in order to enhance its adaptive capability for coping with increasing external change.
"
2014,LiHorkoff2014,"Security has been a growing concern for most large organizations, especially financial and government institutions, as security breaches in the socio-technical systems they depend on are costing billions. A major reason for these breaches is that socio-technical systems are designed in a piecemeal rather than a holistic fashion that leaves parts of a system vulnerable. To tackle this problem, we propose a three-layer security analysis framework for socio-technical systems involving business processes, applications and physical infrastructure. In our proposal, global security requirements lead to local security requirements that cut across layers and upper-layer security analysis influences analysis at lower layers. Moreover, we propose a set of analytical methods and a systematic process that together drive security requirements analysis throughout the three-layer framework. Our proposal supports analysts who are not security experts by defining transformation rules that guide the corresponding analysis. We use a smart grid example to illustrate our approach. Keyword: Security Requirements Goal Model Multilayer SocioTechnical System Security Pattern
"
2010,Neuhaus2010b,"-We study the vulnerability reports in the Common Vulnerability and Exposures (CVE) database by using topic models on their description texts to find prevalent vulnerability types and new trends semi-automatically. In our study of the 39,393 unique CVEs until the end of 2009, we identify the following trends, given here in the form of a weather forecast: PHP: declining, with occasional SQL injection. Buffer Overflows: flattening out after decline. Format Strings: in steep decline. SQL Injection and XSS: remaining strong, and rising. Cross-Site Request Forgery: a sleeping giant perhaps, stirring. Application Servers: rising steeply.
"
2015,Rader2015,"Computer users have access to computer security information from many different sources, but few people receive explicit computer security training. Despite this lack of formal education, users regularly make many important security decisions, such as “Should I click on this potentially shady link?” or “Should I enter my password into this form?” For these decisions, much knowledge comes from incidental and informal learning. To better understand differences in the security-related information available to users for such learning, we compared three informal sources of computer security information: news articles, web pages containing computer security advice, and stories about the experiences of friends and family. Using a Latent Dirichlet Allocation topic model, we found that security information from peers usually focuses on who conducts attacks, information containing expertise focuses instead on how attacks are conducted, and information from the news focuses on the consequences of attacks. These differences may prevent users from understanding the persistence and frequency of seemingly mundane threats (viruses, phishing), or from associating protective measures with the generalized threats the users are concerned about (hackers). Our findings highlight the potential for sources of informal security education to create patterns in user knowledge that affect their ability to make good security decisions.
"
2015,Toomela2015,"Anticipation is an inevitable characteristic of life. Instead of asking whether this or that organism reveals some form of anticipation as it is often done in biology and psychology today, it is more fruitful to ask in which ways different organisms anticipate future. In this chapter Anokhin's Functional Systems Theory is taken as a starting point to proceed with the analysis of how psychic and cultural mechanisms of anticipation have evolved over the history of mind. Grounded also on Vygotsky's and Lotman's theories, it is concluded that there are nine different developmentally ordered mechanisms of thought and correspondingly nine different forms of anticipation. Knowing the basic mechanisms of thinking, it becomes possible to evaluate research in anticipation from a new perspective. Limitations of less developed forms of anticipation can be recognized and replaced with more efficient hierarchically higher-order forms of anticipatory thinking.
"
