name,content
A001,A strong top management team must own the scaling culture and model the behavior they want
A002,Access resources required to scale at relatively low cost or for free by creating benefits for the resource owners that they cannot create alone
A003,Adapt products and services to each market
A004,Advance products and services
A005,"Align interests of investors, the company top management team, and its owners"
A006,Allow individuals and organizations to make money using your products and services
A007,"Apply big data analytics to produce information about users, suppliers and customers and suggest questions"
A008,"Apply digital technology to brand, market, sell, and service customers more cost effectively than competitors"
A009,"Apply processes that continuously improve the cybersecurity of the company as well as its offers, channels and resources"
A010,"Apply processes that make products and services easier to understand, produce and deliver"
A011,Appoint a talented individual as the company Chief Scale Officer to champion scaling initiatives
A012,Arrange and apply differently the company existing resources
A013,"Arrange and apply resources from different regions early, rapidly and securely"
A014,"Assimilate what companies that scale early, rapidly and securely do, and apply it"
A015,Attain positions in interorganizational networks which give access to privileged information
A016,Attain stakeholder trust by improving cybersecurity of the company and the players it works with
A017,Automate the existing processes that add the most benefits to customers and require the most human intervention
A018,Automatically extract the information a user or a customer wants from a vast amount of information
A019,"Balance and align scale objectives set for the near, mid and long term"
A020,"Be responsible and accountable for creating and making visible the quantifiable benefits the company delivers its stakeholders, including customers, partners, investors, members of the company value chain, society, and others"
A021,Build a scaling master plan on a combination of resources that is hard to replicate
A022,"Build and deploy unique and difficult to imitate skills and capabilities to select, combine, and use the resource combinations that create and capture high company value"
A023,Build capability to operate across borders early
A024,Build company wide capability to combine diverse resources and deploy
A025,Build internet based capabilities to acquire and retain customers during the initial stages of company development
A026,Champion the opportunity with confidence
A027,Combine resources that make your company distinct to resource owners and pay for themselves
A028,Combine two or more resources in a way that the value created from them exceeds the sum of the value created from each resource separately
A029,Combine your company resources with the resources of other organizations to create value that cannot be created by your company working alone
A030,Communicate and demonstrate the importance the company places on the security of information acquired from and transferred between stakeholders
A031,"Concurrently improve the offers to your customers, investors and other resource owners as well as in the mechanisms required to scale"
A032,"Concurrently sell the company existing products and services, a compelling image of the company that will exist in the future, and the benefits of the unique data that you collect"
A033,Continuously improve company cybersecurity by i) Assessment of cyber risks to company (Risk analysis); ii) Implementation of cybersecurity measures (Protect); iii) Rapid identification and resonse to cyberattacks (Monitor); and iv) Reduction of cyberattack impact (Respond)
A034,Continuously improve individuals and operations to deliver a portfolio of innovative products and services
A035,"Continuously improve the user interfaces and applications that directly influence the entirety of the customer experience including personalized content, quality messaging, and the delivery and returns process"
A036,Continuously improve value propositions based on results and feedback
A037,Continuously seek and receive funding to support the company scaling master plan and improve its brand in the marketplace
A038,Continuously train individuals in cybersecurity so as to i) Improve cybersecurity operations; and ii) Positively contribute to the company's cybersecurity culture
A039,Continuously use customer feedback to support rapid product iterations
A040,Dedicate teams with strong mix of marketing and technical skills
A041,Define the ideal target customers profiles and engage them relentlessly
A042,"Deliver products and services that offer convenience, cater to customer demands, are secure and offer excellent customer experience"
A043,Develop a compelling image of your future company and use it to convince investors to provide the funding and resource owners to provide the resources the company requires to scale
A044,"Develop and implement a governance model to scale, raise capital, protect against the unauthorized use of electronic resources, and leverage business ecosystems"
A045,"Develop and sell products and services that address a problem, job to be done or a need that is widespread, growing, important, urgent, and manifests itself in diverse ways"
A046,"Develop and sell products and services that are hard to replicate, original, fit commercialization patterns known to be successful, and ride an external trend"
A047,Develop capabilities to cost effectively attain scaling objectives
A048,"Develop data analytic, cybersecurity, entrepreneurial, and technology related skills at all levels "
A049,Develop value propositions for each investor and resource owner with three components: i) What benefits your company provides; ii) What you want in return; and iii) Why they should choose your offer instead of alternatives
A050,"Eliminate communication and coordination barriers when working with foreign partners that are geographically separate, institutionally distant, and operate in different time zones"
